"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2020-11-01","4","725","29","0.04","1","1","10","5","0","0","12","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-02","3","701","33","0.047075606276747506","1","3","16","1","1","0","8","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-03","3","1971","46","0.023338406900050734","0","3","6","2","0","0","34","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-04","6","1457","52","0.03568977350720659","1","4","7","11","0","0","29","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-05","3","1507","59","0.039150630391506305","0","1","10","5","0","0","34","0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-06","1","688","31","0.04505813953488372","0","2","10","2","1","0","15","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-07","6","1387","52","0.03749098774333093","0","1","19","3","4","0","16","0","0","0","0","0","0","9","9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-08","4","1778","62","0.03487064116985377","1","2","5","1","5","0","16","0","0","0","0","0","0","32","32","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-09","4","1171","43","0.036720751494449186","0","5","3","3","0","0","14","0","0","0","0","0","0","18","18","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-10","4","888","46","0.0518018018018018","0","3","4","4","2","0","9","0","0","0","0","0","0","24","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-11","3","740","35","0.0472972972972973","0","3","8","6","0","0","4","0","0","0","0","0","0","14","14","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-12","6","1470","90","0.061224489795918366","7","7","21","5","17","0","30","0","0","0","0","0","0","4","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-13","5","822","42","0.051094890510948905","4","2","10","7","12","0","4","0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-14","0","209","13","0.06220095693779904","0","0","3","0","0","0","5","0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-11-15","0","130","2","0.015384615384615385","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
