"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2020-09-01","2","559","33","0.059033989266547404","0","1","4","3","0","0","5","0","0","0","0","0","0","20","20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-02","1","286","11","0.038461538461538464","0","1","2","0","1","2","3","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-03","4","462","28","0.06060606060606061","1","2","5","3","0","0","10","0","0","0","0","0","0","7","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-04","6","9669","773","0.0799462198779605","8","7","61","24","24","7","204","0","0","0","0","0","0","438","438","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-05","1","1044","67","0.06417624521072797","2","1","6","0","5","1","11","0","0","0","0","0","0","41","41","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-06","4","8432","930","0.11029411764705882","3","2","41","19","2","0","130","0","0","0","0","0","0","733","733","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-07","3","1130","50","0.04424778761061947","0","3","8","1","2","1","11","0","0","0","0","0","0","24","24","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-08","1","616","26","0.04220779220779221","0","1","3","0","0","0","10","0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-09","2","605","30","0.049586776859504134","2","1","6","0","0","0","8","0","0","0","0","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-09-10","1","490","16","0.0326530612244898","1","1","1","3","1","0","5","0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
