"Date","Tweets published","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"2020-10-01","7","2477","33","0.013322567622123537","0","5","6","2","1","0","18","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-02","6","1213","54","0.04451772464962902","0","2","31","6","0","0","8","0","0","0","0","0","0","8","7","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-03","2","6147","47","0.007646006181877338","3","1","21","6","0","0","16","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-04","9","4955","129","0.0260343087790111","4","8","19","14","4","0","44","0","0","0","0","0","0","36","36","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-05","1","626","7","0.011182108626198083","0","1","0","0","0","0","5","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-06","1","447","18","0.040268456375838924","0","1","1","0","1","0","7","0","0","0","0","0","0","8","8","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-07","5","1539","38","0.024691358024691357","0","4","10","1","0","0","21","0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-08","6","1258","47","0.037360890302066775","4","2","20","0","1","0","9","0","0","0","0","0","0","11","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-09","5","5905","388","0.06570702794242167","7","7","37","7","10","2","66","0","0","0","0","0","0","252","252","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-10","2","1955","162","0.08286445012787724","0","2","11","2","12","3","38","0","0","0","0","0","0","94","94","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-11","5","978","39","0.03987730061349693","0","3","4","0","7","0","13","0","0","0","0","0","0","12","12","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-12","1","811","62","0.07644882860665844","0","1","2","0","5","0","19","0","0","0","0","0","0","35","35","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-13","2","675","35","0.05185185185185185","0","2","11","0","0","3","6","0","0","0","0","0","0","13","13","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-14","6","1036","27","0.026061776061776062","0","2","10","2","1","0","7","0","0","0","0","0","0","34","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-15","7","973","41","0.0421377183967112","6","7","17","0","1","0","10","0","0","0","0","0","0","2","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-16","2","880","21","0.023863636363636365","0","2","5","1","0","1","7","0","0","0","0","0","0","5","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-17","3","1873","108","0.05766150560597971","5","3","9","2","7","0","42","0","0","0","0","0","0","40","40","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-18","1","642","34","0.0529595015576324","1","1","7","1","2","1","10","0","0","0","0","0","0","11","11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-19","4","1243","36","0.028962188254223652","1","2","9","10","0","0","13","0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-20","2","576","30","0.052083333333333336","0","2","11","0","0","1","6","0","0","0","0","0","0","10","10","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-21","17","3771","182","0.04826306019623442","7","7","17","6","9","0","62","0","0","0","0","0","0","84","74","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2020-10-22","4","1032","61","0.05910852713178295","0","2","11","1","1","2","11","0","0","0","0","0","0","144","33","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
